,Pretrain Objectives,#Pretrain Data,DocVQA,RVL-CDIP,FUNSD,CORD
0,MLM,11.0M,79.7,95.3,90.2,96.7
1,UDOP-Dual,,,,,
2,Self-Supervised + Supervised,11.0M 12.8M,83.5 84.1,95.8 96.1,91.5 91.5,97.2 97.3
3,UDOP,,,,,
4,Self-Supervised,11.0M,84.4,96.2,91.0,97.2
5,+ Supervised,12.8M,85.0,96.3,91.9,97.4
