,,#param.,training dataset,Ilk 10s.,Ilk Os.,CIT,CT I,FI T,FT I
0,CLIP*,203M,WebLI,55.8,65.1,48.5,31.3,79.2,59.4
1,1T-CLIP,118M,WebLI,53.9,62.3,48.0,30.3,77.5,58.2
2,CLIPPO,93M,WebLI,53.0,61.4,47.3,30.1,76.4,57.3
3,CLIPPO,93M,WebLI +25%C4,52.1,57.4,40.7,26.7,68.9,51.8
4,CLIPPO,93M,WebLI+50%C4,48.0,53.1,35.2,23.4,64.8,47.2
5,1T-CLIP L/16,349M,WebLI,60.8,67.8,50.7,32.5,81.0,61.0
6,PO L/16,316M,,60.3,,50.6,3.4,79,62.6
7,CLIPPO L/16,316M,WebLI +25%C4,60.5,66.0,44.5,29.8,72.9,57.3
8,CLIPPO L/16,316M,WebLI+50%C4,56.8,61.7,39.7,27.3,70.1,54.7
