,,training dataset,MNLI-M/MM,QQP,QNLI,SST-2,COLA,STS-B,MRPC,RTE,avg
0,1T-CLIP text enc.,WebLI,71.6/71.6,83.5,80.5,85.0,0.0,74.1,82.8,54.2,67.0
1,CLIPPO,WebLI,72.2/72.2,84.0,81.2,86.7,0.0,81.0,84.0,57.8,68.8
2,CLIPPO,WebLI +25%C4,77.0/77.0,85.4,82.8,90.9,20.1,83.1,83.6,54.5,72.7
3,CLIPPO,WebLI + 50%C4,78.8/78.8,86.0,84.8,92.0,34.4,83.1,84.2,58.8,75.6
4,1T-CLIP text enc.,LAION,72.2/72.2,84.1,79.8,86.9,0.0,38.0,81.4,54.2,63.3
5,CLIPPO,LAION,73.2/73.2,84.2,80.9,86.5,0.0,75.3,82.2,53.8,67.7
6,CLIPPO,LAION +25%C4,77.0/77.0,85.5,83.3,91.1,22.0,83.3,84.6,57.0,73.4
7,CLIPPO,LAION + 50%C4,78.8/78.8,86.1,84.3,92.2,38.3,83.7,83.9,55.2,75.7
