,,#param.,shared,separated,Ilk 10s.,Ilk Os,. CI→T,CT I,FI T,FT I
0,CLIP*,203M,,all,52.9,62.8,47.2,29.7,76.8,57.2
1,CLIPPO untied,186M,,all,52.4,61.8,47.2,29.5,76.6,55.0
2,1T-CLIP,118M,"encoder, heads",embeddings,50.9,60.1,46.2,28.2,76.1,55.2
3,CLIPPO,93M,all,,49.7,58.0,44.9,29.0,73.1,55.4
4,CLIPPO,94M,"encoder, embeddings",heads,49.2,58.1,45.0,28.7,71.8,56.5
5,CLIPPO,94M,"encoder, heads",embeddings,49.8,58.4,44.5,28.6,73.7,56.4
6,CLIPPO,94M,encoder,"embeddings, heads",48.9,57.6,44.5,26.8,72.9,53.7
